2025-12-30T12:51:34.867693 | CALL ENDED | terminal_state=SUCCESS
2025-12-30T12:51:34.867932 | CALL STARTED | call_id=8c9436f8-8a3f-4346-8aa9-f97d8e3304c5
2025-12-30T12:51:34.868096 | SCHEMA VALIDATION FAILED | errors=['Missing required field: intent', 'Missing required field: urgency', 'Missing required field: service_city', 'Missing required field: caller_phone']
2025-12-30T12:51:34.868359 | CALL ENDED | terminal_state=FAIL_CLOSED
2025-12-30T12:51:34.868440 | CALL STARTED | call_id=0ca91ab7-92c6-4d04-a521-360c903b2718
2025-12-30T12:51:34.868529 | CALL STARTED | call_id=b6c59afb-058b-4bd2-8efc-4b1d0e0988c6
2025-12-30T12:51:34.868609 | CALL STARTED | call_id=1c6a9807-3378-4051-a3b8-b210c5388ce0
2025-12-30T12:51:34.868685 | CALL STARTED | call_id=36ddfae7-4fa6-4b75-8b06-90c7ea3b9e77
2025-12-30T12:51:34.868775 | CALL STARTED | call_id=8adbceed-387f-4202-970e-7f4aab4c66d3
2025-12-30T12:51:34.868884 | FAIL_CLOSED | reason=That city is outside our service area. We serve: Minneapolis, St. Paul, Bloomington, Richfield, Edina
2025-12-30T12:51:34.868967 | CALL STARTED | call_id=82823d7f-c50a-4668-a96d-ccf071eaefd0
2025-12-30T12:51:34.869055 | CALL STARTED | call_id=593155e2-339b-4dc8-8b77-07da63413673
2025-12-30T12:51:34.869123 | CALL STARTED | call_id=a050a7d9-7253-4bd1-9c77-b75061960237
2025-12-30T12:51:34.869192 | CALL STARTED | call_id=c7ff8958-3864-44f8-82e2-b4b9352e8b21
2025-12-30T13:18:49.546292 | CALL STARTED | call_id=3729bfce-3d19-4c5a-a1cf-e45cd29bb7e1
2025-12-30T13:23:48.035888 | FAIL_CLOSED | reason=I’m not able to clearly identify the issue.
2025-12-30T13:23:55.686217 | SCHEMA VALIDATION FAILED | errors=['Missing required field: intent', 'Missing required field: urgency', 'Missing required field: service_city', 'Missing required field: caller_phone']
2025-12-30T13:23:55.686845 | CALL ENDED | terminal_state=FAIL_CLOSED
2025-12-30T13:24:00.037707 | CALL STARTED | call_id=47fbc25e-6996-4d18-a8b6-7df6e7c1b37b
2025-12-30T13:24:06.879727 | SCHEMA VALIDATION FAILED | errors=['Missing required field: intent', 'Missing required field: urgency', 'Missing required field: service_city', 'Missing required field: caller_phone']
2025-12-30T13:24:06.880452 | CALL ENDED | terminal_state=FAIL_CLOSED
2025-12-30T13:24:53.006940 | CALL STARTED | call_id=68822c86-6357-4f91-ae2a-792d1b434903
2025-12-30T13:27:35.305595 | CALL STARTED | call_id=1023038f-8770-40dc-afd2-af26eedd62b6
2025-12-30T13:32:19.136509 | CALL SUCCESS
2025-12-30T13:32:19.137076 | CALL ENDED | terminal_state=SUCCESS
2025-12-30T13:44:06.975231 | CALL STARTED | call_id=6f95a4ba-498a-48ff-8df3-ee605659b235
2025-12-30T13:44:12.718635 | SCHEMA VALIDATION FAILED | errors=['Missing required field: intent', 'Missing required field: urgency', 'Missing required field: service_city', 'Missing required field: caller_phone']
2025-12-30T13:44:12.719176 | CALL ENDED | terminal_state=FAIL_CLOSED
